,,,,,,
,KPD - JTJ,MPI-PCKM,UP,20.55 hrs,23.55 hrs,03.00 hrs
,KPD - JTJ,PCKM-AB,UP,20.55 hrs,23.55 hrs,03.00 hrs
,KPD - JTJ,AB-VGM,UP,20.55 hrs,23.55 hrs,03.00 hrs
,KPD - JTJ,VGM-VN,UP,20.55 hrs,23.55 hrs,03.00 hrs
,KPD - JTJ,VN-KDY,UP,20.55 hrs,23.55 hrs,03.00 hrs
,KPD - JTJ,KDY-JTJ,UP,20.55 hrs,23.55 hrs,03.00 hrs
,KPD - JTJ,KPD - YD,UP,20.55 hrs,23.55 hrs,03.00 hrs
,KPD - JTJ,LTI - YD,UP,20.55 hrs,23.55 hrs,03.00 hrs
,KPD - JTJ,KVN - YD,UP,20.55 hrs,23.55 hrs,03.00 hrs
,KPD - JTJ,GYM - YD,UP,20.55 hrs,23.55 hrs,03.00 hrs
,KPD - JTJ,VLT - YD,UP,20.55 hrs,23.55 hrs,03.00 hrs
,KPD - JTJ,MPI - YD,UP,20.55 hrs,23.55 hrs,03.00 hrs
,KPD - JTJ,PCKM - YD,UP,20.55 hrs,23.55 hrs,03.00 hrs
,KPD - JTJ,AB - YD,UP,20.55 hrs,23.55 hrs,03.00 hrs
,KPD - JTJ,VGM - YD,UP,20.55 hrs,23.55 hrs,03.00 hrs
,KPD - JTJ,VN - YD,UP,20.55 hrs,23.55 hrs,03.00 hrs
,KPD - JTJ,KDY - YD,UP,20.55 hrs,23.55 hrs,03.00 hrs
,KPD - JTJ,JTJ - YD,UP,20.55 hrs,23.55 hrs,03.00 hrs
,KPD - JTJ,CGL - RDY,Single Line,01.00 hrs,04.00 hrs,03.00 hrs
,AJJ - CGL,RDY -  VB,Single Line,01.00 hrs,04.00 hrs,03.00 hrs
,AJJ - CGL,VB - PALR,Single Line,01.00 hrs,04.00 hrs,03.00 hrs
,AJJ - CGL,PALR - PYV,Single Line,01.00 hrs,04.00 hrs,03.00 hrs
,AJJ - CGL,PYV - WJ,Single Line,01.00 hrs,04.00 hrs,03.00 hrs
,AJJ - CGL,WJ - NTT,Single Line,01.00 hrs,04.00 hrs,03.00 hrs
,AJJ - CGL,NTT - CJ(O),Single Line,01.00 hrs,04.00 hrs,03.00 hrs
,AJJ - CGL,CJ(O) - CJ(E),Single Line,01.00 hrs,04.00 hrs,03.00 hrs
,AJJ - CGL,CJ(E) - TMLP,Single Line,01.00 hrs,04.00 hrs,03.00 hrs
,AJJ - CGL,TMLP - TKO,Single Line,01.00 hrs,04.00 hrs,03.00 hrs
,AJJ - CGL,TKO - MLPM,Single Line,01.00 hrs,04.00 hrs,03.00 hrs
,AJJ - CGL,MLPM - AJJ,Single Line,01.00 hrs,04.00 hrs,03.00 hrs
,AJJ - CGL,CGL - YD,Single Line,01.00 hrs,04.00 hrs,03.00 hrs
,AJJ - CGL,PALR - YD,Single Line,01.00 hrs,04.00 hrs,03.00 hrs
,AJJ - CGL,WJ - YD,Single Line,01.00 hrs,04.00 hrs,03.00 hrs
,AJJ - CGL,CJ(O) - YD,Single Line,01.00 hrs,04.00 hrs,03.00 hrs
,AJJ - CGL,CJ(E) - YD,Single Line,01.00 hrs,04.00 hrs,03.00 hrs
,AJJ - CGL,TMLP - YD,Single Line,01.00 hrs,04.00 hrs,03.00 hrs
,AJJ - CGL,MLPM - YD,Single Line,01.00 hrs,04.00 hrs,03.00 hrs
,AJJ - CGL,AJJ - YD,Single Line,01.00 hrs,04.00 hrs,03.00 hrs
,MAS - GDR,MMC - BBQ,Down,00.30 hrs,03.30 hrs,03.00 hrs
,MAS - GDR,BBQ - KOK,Down,00.30 hrs,03.30 hrs,03.00 hrs
,MAS - GDR,KOK - TNP,Down,00.30 hrs,03.30 hrs,03.00 hrs
,MAS - GDR,TNP - TVT,Down,00.30 hrs,03.30 hrs,03.00 hrs
,MAS - GDR,TVT - ENR,Down,00.30 hrs,03.30 hrs,03.00 hrs
,MAS - GDR,ENR - AIP,Down,00.30 hrs,03.30 hrs,03.00 hrs
,MAS - GDR,AIP - AIPP,Down,00.30 hrs,03.30 hrs,03.00 hrs
,MAS - GDR,AIPP - MJR,Down,00.30 hrs,03.30 hrs,03.00 hrs
,MAS - GDR,MJR - PON,Down,00.30 hrs,03.30 hrs,03.00 hrs
,MAS - GDR,PON - KVP,Down,00.30 hrs,03.30 hrs,03.00 hrs
,MAS - GDR,KVP - GPD,Down,00.30 hrs,03.30 hrs,03.00 hrs
,MAS - GDR,MMC - YD,Down,00.30 hrs,03.30 hrs,03.00 hrs
,MAS - GDR,BBQ - YD,Down,00.30 hrs,03.30 hrs,03.00 hrs
,MAS - GDR,KOK - YD,Down,00.30 hrs,03.30 hrs,03.00 hrs
,MAS - GDR,TNP - YD,Down,00.30 hrs,03.30 hrs,03.00 hrs
,MAS - GDR,TVT - YD,Down,00.30 hrs,03.30 hrs,03.00 hrs
,MAS - GDR,ENR - YD,Down,00.30 hrs,03.30 hrs,03.00 hrs
,MAS - GDR,AIP - YD,Down,00.30 hrs,03.30 hrs,03.00 hrs
,MAS - GDR,AIPP - YD,Down,00.30 hrs,03.30 hrs,03.00 hrs
,MAS - GDR,MJR - YD,Down,00.30 hrs,03.30 hrs,03.00 hrs
,MAS - GDR,PON - YD,Down,00.30 hrs,03.30 hrs,03.00 hrs
,MAS - GDR,KVP - YD,Down,00.30 hrs,03.30 hrs,03.00 hrs
,MAS - GDR,GPD - YD,Down,00.30 hrs,03.30 hrs,03.00 hrs
,MAS - GDR,GPD - ELR,Down,01.30 hrs,04.30 hrs,03.00 hrs
,MAS - GDR,ELR - AKM,Down,01.30 hrs,04.30 hrs,03.00 hrs
,MAS - GDR,AKM - TAD,Down,01.30 hrs,04.30 hrs,03.00 hrs
,MAS - GDR,TAD - AKAT,Down,01.30 hrs,04.30 hrs,03.00 hrs
,MAS - GDR,AKAT - SPE,Down,01.30 hrs,04.30 hrs,03.00 hrs
,MAS - GDR,ELR - YD,Down,01.30 hrs,04.30 hrs,03.00 hrs
,MAS - GDR,AKM - YD,Down,01.30 hrs,04.30 hrs,03.00 hrs
,MAS - GDR,TAD - YD,Down,01.30 hrs,04.30 hrs,03.00 hrs
,MAS - GDR,SPE - YD,Down,01.30 hrs,04.30 hrs,03.00 hrs
,MAS - GDR,SPE - PEL,Down,02.00 hrs,05.00 hrs,03.00 hrs
,MAS - GDR,PEL - DVR,Down,02.00 hrs,05.00 hrs,03.00 hrs
,MAS - GDR,DVR - NYP,Down,02.00 hrs,05.00 hrs,03.00 hrs
,MAS - GDR,NYP - PYA,Down,02.00 hrs,05.00 hrs,03.00 hrs
,MAS - GDR,PYA - ODR,Down,02.00 hrs,05.00 hrs,03.00 hrs
,MAS - GDR,ODR - GDR,Down,02.00 hrs,05.00 hrs,03.00 hrs
,MAS - GDR,PEL - YD,Down,02.00 hrs,05.00 hrs,03.00 hrs
,MAS - GDR,DVR - YD,Down,02.00 hrs,05.00 hrs,03.00 hrs
,MAS - GDR,NYP - YD,Down,02.00 hrs,05.00 hrs,03.00 hrs
,MAS - GDR,PYA - YD,Down,02.00 hrs,05.00 hrs,03.00 hrs
,MAS - GDR,ODR - YD,Down,02.00 hrs,05.00 hrs,03.00 hrs
,MAS - GDR,GDR - YD,Down,02.00 hrs,05.00 hrs,03.00 hrs
,MAS - GDR,MAS-GPD,UP,22.30 hrs,01.30 hrs,03.00 hrs
,MAS - GDR,MMC - BBQ,UP,22.30 hrs,01.30 hrs,03.00 hrs
,MAS - GDR,BBQ - KOK,UP,22.30 hrs,01.30 hrs,03.00 hrs
,MAS - GDR,KOK - TNP,UP,22.30 hrs,01.30 hrs,03.00 hrs
,MAS - GDR,TNP - TVT,UP,22.30 hrs,01.30 hrs,03.00 hrs
,MAS - GDR,TVT - ENR,UP,22.30 hrs,01.30 hrs,03.00 hrs
,MAS - GDR,ENR - AIP,UP,22.30 hrs,01.30 hrs,03.00 hrs
,MAS - GDR,AIP - AIPP,UP,22.30 hrs,01.30 hrs,03.00 hrs
,MAS - GDR,AIPP - MJR,UP,22.30 hrs,01.30 hrs,03.00 hrs
,MAS - GDR,MJR - PON,UP,22.30 hrs,01.30 hrs,03.00 hrs
,MAS - GDR,PON - KVP,UP,22.30 hrs,01.30 hrs,03.00 hrs
,MAS - GDR,KVP - GPD,UP,22.30 hrs,01.30 hrs,03.00 hrs
,MAS - GDR,MMC - YD,UP,22.30 hrs,01.30 hrs,03.00 hrs
,MAS - GDR,BBQ - YD,UP,22.30 hrs,01.30 hrs,03.00 hrs
,MAS - GDR,KOK - YD,UP,22.30 hrs,01.30 hrs,03.00 hrs
,MAS - GDR,TNP - YD,UP,22.30 hrs,01.30 hrs,03.00 hrs
,MAS - GDR,TVT - YD,UP,22.30 hrs,01.30 hrs,03.00 hrs
,MAS - GDR,ENR - YD,UP,22.30 hrs,01.30 hrs,03.00 hrs
,MAS - GDR,AIP - YD,UP,22.30 hrs,01.30 hrs,03.00 hrs
,MAS - GDR,AIPP - YD,UP,22.30 hrs,01.30 hrs,03.00 hrs
,MAS - GDR,MJR - YD,UP,22.30 hrs,01.30 hrs,03.00 hrs
,MAS - GDR,PON - YD,UP,22.30 hrs,01.30 hrs,03.00 hrs
,MAS - GDR,KVP - YD,UP,22.30 hrs,01.30 hrs,03.00 hrs
,MAS - GDR,GPD - YD,UP,22.30 hrs,01.30 hrs,03.00 hrs
,MAS - GDR,GPD - ELR,UP,22.00 hrs,01.00 hrs,03.00 hrs
,MAS - GDR,ELR - AKM,UP,22.00 hrs,01.00 hrs,03.00 hrs
,MAS - GDR,AKM - TAD,UP,22.00 hrs,01.00 hrs,03.00 hrs
,MAS - GDR,TAD - AKAT,UP,22.00 hrs,01.00 hrs,03.00 hrs
,MAS - GDR,AKAT - SPE,UP,22.00 hrs,01.00 hrs,03.00 hrs
,MAS - GDR,ELR - YD,UP,22.00 hrs,01.00 hrs,03.00 hrs
,MAS - GDR,AKM - YD,UP,22.00 hrs,01.00 hrs,03.00 hrs
,MAS - GDR,TAD - YD,UP,22.00 hrs,01.00 hrs,03.00 hrs
,MAS - GDR,SPE - YD,UP,22.00 hrs,01.00 hrs,03.00 hrs
,MAS - GDR,SPE - PEL,UP,21.30 hrs,00.30 hrs,03.00 hrs
,MAS - GDR,PEL - DVR,UP,21.30 hrs,00.30 hrs,03.00 hrs
,MAS - GDR,DVR - NYP,UP,21.30 hrs,00.30 hrs,03.00 hrs
,MAS - GDR,NYP - PYA,UP,21.30 hrs,00.30 hrs,03.00 hrs
,MAS - GDR,PYA - ODR,UP,21.30 hrs,00.30 hrs,03.00 hrs
,MAS - GDR,ODR - GDR,UP,21.30 hrs,00.30 hrs,03.00 hrs
,MAS - GDR,PEL - YD,UP,21.30 hrs,00.30 hrs,03.00 hrs
,MAS - GDR,DVR - YD,UP,21.30 hrs,00.30 hrs,03.00 hrs
,MAS - GDR,NYP - YD,UP,21.30 hrs,00.30 hrs,03.00 hrs
,MAS - GDR,PYA - YD,UP,21.30 hrs,00.30 hrs,03.00 hrs
,MAS - GDR,ODR - YD,UP,21.30 hrs,00.30 hrs,03.00 hrs
,MAS - GDR,GDR - YD,UP,21.30 hrs,00.30 hrs,03.00 hrs
,MSB - VM,MS - MKK, A Line,01.00 hrs,04.00 hrs,03.00 hrs
,MSB - VM,MKK - MBM, A Line,01.00 hrs,04.00 hrs,03.00 hrs
,MSB - VM,MBM - STM, A Line,01.00 hrs,04.00 hrs,03.00 hrs
,MSB - VM,STM -PV, A Line,01.00 hrs,04.00 hrs,03.00 hrs
,MSB - VM,PV -TBM, A Line,01.00 hrs,04.00 hrs,03.00 hrs
,MSB - VM,MS - YD, A Line,01.00 hrs,04.00 hrs,03.00 hrs
,MSB - VM,MKK - YD, A Line,01.00 hrs,04.00 hrs,03.00 hrs
,MSB - VM,MBM - YD, A Line,01.00 hrs,04.00 hrs,03.00 hrs
,MSB - VM,STM - YD, A Line,01.00 hrs,04.00 hrs,03.00 hrs
,MSB - VM,PV - YD, A Line,01.00 hrs,04.00 hrs,03.00 hrs
,MSB - VM,TBM - PRGL,Down,01.30 hrs,04.30 hrs,03.00 hrs
,MSB - VM,PRGL - VDR,Down,01.30 hrs,04.30 hrs,03.00 hrs
,MSB - VM,VDR - UPM,Down,01.30 hrs,04.30 hrs,03.00 hrs
,MSB - VM,UPM - GI,Down,01.30 hrs,04.30 hrs,03.00 hrs
,MSB - VM,POTI - CTM,Down,01.30 hrs,04.30 hrs,03.00 hrs
,MSB - VM,CTM - MMNK,Down,01.30 hrs,04.30 hrs,03.00 hrs
,MSB - VM,MMNK - SKL,Down,01.30 hrs,04.30 hrs,03.00 hrs
,MSB - VM,SKL - PWU,Down,01.30 hrs,04.30 hrs,03.00 hrs
,MSB - VM,PWU - CGL,Down,01.30 hrs,04.30 hrs,03.00 hrs
,MSB - VM,TBM - YD,Down,01.30 hrs,04.30 hrs,03.00 hrs
,MSB - VM,VDR - YD,Down,01.30 hrs,04.30 hrs,03.00 hrs
,MSB - VM,GI - YD,Down,01.30 hrs,04.30 hrs,03.00 hrs
,MSB - VM,CTM - YD,Down,01.30 hrs,04.30 hrs,03.00 hrs
,MSB - VM,SKL - YD,Down,01.30 hrs,04.30 hrs,03.00 hrs
,MSB - VM,CGL - YD,Down,01.30 hrs,04.30 hrs,03.00 hrs
,MSB - VM,CGL - OV,Down,02.00 hrs,05.00 hrs,03.00 hrs
,MSB - VM,OV - PTM,Down,02.00 hrs,05.00 hrs,03.00 hrs
,MSB - VM,PTM - KGZ,Down,02.00 hrs,05.00 hrs,03.00 hrs
,MSB - VM,KGZ - MMK,Down,02.00 hrs,05.00 hrs,03.00 hrs
,MSB - VM,MMK - MLMR,Down,02.00 hrs,05.00 hrs,03.00 hrs
,MSB - VM,MLMR - ACK,Down,02.00 hrs,05.00 hrs,03.00 hrs
,MSB - VM,ACK - TZD,Down,02.00 hrs,05.00 hrs,03.00 hrs
,MSB - VM,TZD - OLA,Down,02.00 hrs,05.00 hrs,03.00 hrs
,MSB - VM,OLA - TMV,Down,02.00 hrs,05.00 hrs,03.00 hrs
,MSB - VM,TMV - MTL,Down,02.00 hrs,05.00 hrs,03.00 hrs
,MSB - VM,MTL - PEI,Down,02.00 hrs,05.00 hrs,03.00 hrs
,MSB - VM,PEI - VVN,Down,02.00 hrs,05.00 hrs,03.00 hrs
,MSB - VM,VVN - MYP,Down,02.00 hrs,05.00 hrs,03.00 hrs
,MSB - VM,MYP -VM,Down,02.00 hrs,05.00 hrs,03.00 hrs
,MSB - VM,OV - YD,Down,02.00 hrs,05.00 hrs,03.00 hrs
,MSB - VM,KGZ - YD,Down,02.00 hrs,05.00 hrs,03.00 hrs
,MSB - VM,MMK - YD,Down,02.00 hrs,05.00 hrs,03.00 hrs
,MSB - VM,MLMR - YD,Down,02.00 hrs,05.00 hrs,03.00 hrs
,MSB - VM,TZD - YD,Down,02.00 hrs,05.00 hrs,03.00 hrs
,MSB - VM,OLA - YD,Down,02.00 hrs,05.00 hrs,03.00 hrs
,MSB - VM,TMV - YD,Down,02.00 hrs,05.00 hrs,03.00 hrs
,MSB - VM,MTL - YD,Down,02.00 hrs,05.00 hrs,03.00 hrs
,MSB - VM,PEI - YD,Down,02.00 hrs,05.00 hrs,03.00 hrs
,MSB - VM,VVN - YD,Down,02.00 hrs,05.00 hrs,03.00 hrs
,MSB - VM,MYP - YD,Down,02.00 hrs,05.00 hrs,03.00 hrs
,MSB - VM,VM - YD,Down,02.00 hrs,05.00 hrs,03.00 hrs
,MSB - VM,MS - MKK, B Line,22.00 hrs,01.00 hrs,03.00 hrs
,MSB - VM,MKK - MBM, B Line,22.00 hrs,01.00 hrs,03.00 hrs
,MSB - VM,MBM - STM, B Line,22.00 hrs,01.00 hrs,03.00 hrs
,MSB - VM,STM -PV, B Line,22.00 hrs,01.00 hrs,03.00 hrs
,MSB - VM,PV -TBM, B Line,22.00 hrs,01.00 hrs,03.00 hrs
,MSB - VM,MS - YD, B Line,22.00 hrs,01.00 hrs,03.00 hrs
,MSB - VM,MKK - YD, B Line,22.00 hrs,01.00 hrs,03.00 hrs
,MSB - VM,MBM - YD, B Line,22.00 hrs,01.00 hrs,03.00 hrs
,MSB - VM,STM - YD, B Line,22.00 hrs,01.00 hrs,03.00 hrs
,MSB - VM,PV - YD, B Line,22.00 hrs,01.00 hrs,03.00 hrs
,MSB - VM,TBM - PRGL,UP,23.00 hrs,02.00 hrs,03.00 hrs
,MSB - VM,PRGL - VDR,UP,23.00 hrs,02.00 hrs,03.00 hrs
,MSB - VM,VDR - UPM,UP,23.00 hrs,02.00 hrs,03.00 hrs
,MSB - VM,UPM - GI,UP,23.00 hrs,02.00 hrs,03.00 hrs
,MSB - VM,POTI - CTM,UP,23.00 hrs,02.00 hrs,03.00 hrs
,MSB - VM,CTM - MMNK,UP,23.00 hrs,02.00 hrs,03.00 hrs
,MSB - VM,MMNK - SKL,UP,23.00 hrs,02.00 hrs,03.00 hrs
,MSB - VM,SKL - PWU,UP,23.00 hrs,02.00 hrs,03.00 hrs
,MSB - VM,PWU - CGL,UP,23.00 hrs,02.00 hrs,03.00 hrs
,MSB - VM,TBM - YD,UP,23.00 hrs,02.00 hrs,03.00 hrs
,MSB - VM,VDR - YD,UP,23.00 hrs,02.00 hrs,03.00 hrs
,MSB - VM,GI - YD,UP,23.00 hrs,02.00 hrs,03.00 hrs
,MSB - VM,CTM - YD,UP,23.00 hrs,02.00 hrs,03.00 hrs
,MSB - VM,SKL - YD,UP,23.00 hrs,02.00 hrs,03.00 hrs
,MSB - VM,CGL - YD,UP,23.00 hrs,02.00 hrs,03.00 hrs
,MSB - VM,CGL - OV,UP,21.10 hrs,00.10 hrs,03.00 hrs
,MSB - VM,OV - PTM,UP,21.10 hrs,00.10 hrs,03.00 hrs
,MSB - VM,PTM - KGZ,UP,21.10 hrs,00.10 hrs,03.00 hrs
,MSB - VM,KGZ - MMK,UP,21.10 hrs,00.10 hrs,03.00 hrs
,MSB - VM,MMK - MLMR,UP,21.10 hrs,00.10 hrs,03.00 hrs
,MSB - VM,MLMR - ACK,UP,21.10 hrs,00.10 hrs,03.00 hrs
,MSB - VM,ACK - TZD,UP,21.10 hrs,00.10 hrs,03.00 hrs
,MSB - VM,TZD - OLA,UP,21.10 hrs,00.10 hrs,03.00 hrs
,MSB - VM,OLA - TMV,UP,21.10 hrs,00.10 hrs,03.00 hrs
,MSB - VM,TMV - MTL,UP,21.10 hrs,00.10 hrs,03.00 hrs
,MSB - VM,MTL - PEI,UP,21.10 hrs,00.10 hrs,03.00 hrs
,MSB - VM,PEI - VVN,UP,21.10 hrs,00.10 hrs,03.00 hrs
,MSB - VM,VVN - MYP,UP,21.10 hrs,00.10 hrs,03.00 hrs
,MSB - VM,MYP -VM,UP,21.10 hrs,00.10 hrs,03.00 hrs
,MSB - VM,OV - YD,UP,21.10 hrs,00.10 hrs,03.00 hrs
,MSB - VM,KGZ - YD,UP,21.10 hrs,00.10 hrs,03.00 hrs
,MSB - VM,MMK - YD,UP,21.10 hrs,00.10 hrs,03.00 hrs
,MSB - VM,MLMR - YD,UP,21.10 hrs,00.10 hrs,03.00 hrs
,MSB - VM,TZD - YD,UP,21.10 hrs,00.10 hrs,03.00 hrs
,MSB - VM,OLA - YD,UP,21.10 hrs,00.10 hrs,03.00 hrs
,MSB - VM,TMV - YD,UP,21.10 hrs,00.10 hrs,03.00 hrs
,MSB - VM,MTL - YD,UP,21.10 hrs,00.10 hrs,03.00 hrs
,MSB - VM,PEI - YD,UP,21.10 hrs,00.10 hrs,03.00 hrs
,MSB - VM,VVN - YD,UP,21.10 hrs,00.10 hrs,03.00 hrs
,MSB - VM,MYP - YD,UP,21.10 hrs,00.10 hrs,03.00 hrs
,MSB - VM,VM - YD,UP,21.10 hrs,00.10 hrs,03.00 hrs